entidad_nombre;ambito_nombre;subcategoria_nombre;recurso_programa;descripcion;objetivo;destinatarios;periodo_inicio;periodo_fin;entidad_gestora_nombre;financiacion_nombre;servicio_nombre;activo;contacto_nombre1;contacto_email1;contacto_tel1
CEPER Dionisio Montero;Empleo y Desarrollo;Formación reglada;Formación Básica, Tutoría y Apoyo al Estudio (TAE);Preparación básica Nivel 1 y 2;Impartir clases para la adquisición de nivel básico educativo;Personas mayores de 18 años.;;;CEPER Dionisio Montero;Consejería de educación.;;1;;11500468.edu@juntadeandalucia.es;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación reglada;Educación Secundaria Obligatoria para Personas Adultas;Clases para la obtención de la educación secundaria obligatoria;Impartir clases orientadas a obtener la ESO.;Personas mayores de 18 años.;;;CEPER Dionisio Montero;Consejería de educación.;;1;;11500468.edu@juntadeandalucia.es;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación reglada;Pruebas de Acceso para la Universidad de Mayores de 25 años;Preparación para el acceso a la universidad.;Impartir clases para la preparación de la prueba de acceso a la universidad para mayores de 25 años.;Personas mayores de 25 años o que los cumplan en el año natural de la prueba.;;;CEPER Dionisio Montero;Consejería de educación.;;1;;11500468.edu@juntadeandalucia.es;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación reglada;Preparación de Pruebas para obtención Título de Técnico de Ciclos Formativos de FP;Preparación de pruebas en el ámbito de cuidados auxiliares de enfermería y en el de cocina y gastronomía.;"Dotar a las personas participantes de los conocimientos para la preparación de las pruebas para la obtención de las titulaciones
señaladas (Pendiente de aprobación por parte de la administración)";Personas mayores de 25 años o que los cumplan en el año natural de la prueba.;;;CEPER Dionisio Montero;Consejería de educación.;;1;;11500468.edu@juntadeandalucia.es;
IES Poeta García Gutiérrez;Empleo y Desarrollo;Formación reglada;Educación Secundaria Obligatoria para Personas Adultas;Obtención de Titulación de Educación Secundaria obligatoria;;;;;IES Poeta García Gutierrez;Consejería de educación.;;1;;edu@juntadeandalucia.es;
IES Poeta García Gutiérrez;Empleo y Desarrollo;Formación reglada;Bachiller para Personas Adultas;Obtención de Titulación bachiller.;;;;;IES Poeta García Gutierrez;Consejería de educación.;;1;;edu@juntadeandalucia.es;
Escuela Oficial de Idiomas;Empleo y Desarrollo;Formación reglada;Cursos Oficiales de Idiomas;"Cursos oficiales de idiomas Inglés: A1-C2, Francés: A1-C1,
Alemán: A1-C1, Español para extranjeros: A1-B2
Las titulaciones son:
-Nivel Básico A2, dos cursos (A1 y A2)
-Nivel Intermedio B1, un curso
-Nivel Intermedio B2, dos cursos (B 1 y B 2)
-Nivel Avanzado C1, dos cursos (C1.1 y C1.2)
-Nivel Avanzado (C2), un curso.
  DESTINATARIOS/AS: personas a partir de 14 años";Obtención de titulaciones oficiales de inglés, alemán y francés.;;;;EOI Chiclana;Consejería de desarrollo educativo y Formación profesional;;1;;11700408.edu@juntadeandalucia.es;
Escuela Oficial de Idiomas;Empleo y Desarrollo;Formación reglada;Cursos Oficiales de Idiomas Cuatrimestrales;"primer cuatrimestre:
- Alemán para hostelería y turismo (a2)                                                                                                                                                                                                     - Ingles practicas de la expresión oral b2
- Ingles practica de la expresión oral c1
segundo cuatrimestre:
- Alemán para la hostelería y el turismo (a1)
- ingles preparación a la prueba de certificación b2
- ingles preparación a la prueba de certificación c1
  DESTINATARIOS/AS: personas a partir de 14 años";cursos a realizar en ingles y en aleman . al finalizar el curso se emite un certificado de asistencia/aprovechamiento pero no un titulo.;;;;EOI Chiclana;Consejería de desarrollo educativo y Formación profesional;;1;;11700408.edu@juntadeandalucia.es;
I.E.S que imparten Formación Profesional;Empleo y Desarrollo;Formación reglada;Ciclos Formativos de Grado Básico;;;;;;;;;1;;;
I.E.S que imparten Formación Profesional;Empleo y Desarrollo;Formación reglada;Ciclos Formativos de Grado Medio;;;;;;;;;1;;;
I.E.S que imparten Formación Profesional;Empleo y Desarrollo;Formación reglada;Ciclos Formativos de Grado Básico Específico para Personas con Necesidades Especiales;;;;;;;;;1;;;
I.E.S que imparten Formación Profesional;Empleo y Desarrollo;Formación reglada;Ciclos Formativos de Grado Superior;;;;;;;;;1;;;
I.E.S que imparten Formación Profesional;Empleo y Desarrollo;Formación reglada;Curso de Especialización de Formación Profesional;;;;;;;;;1;;;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación no reglada;Uso Básico de Idiomas;;;;;;;;;1;;;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación no reglada;Uso Básico de las TICs (Alfabetización) e Informática para la vida cotidiana;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Formación no reglada;E2O. Red escuela de segunda oportunidad.;;;;;;;;;1;;;
CEPER Dionisio Montero;Empleo y Desarrollo;Formación no reglada;Cultura Emprendedora;;;;;;;;;1;;;
Delegación de la Mujer;Empleo y Desarrollo;Formación no reglada;Alfabetización Digital (para aumentar las competencias digitales de mujeres en desempleo);"Formaciones en competencias digitales: """"taller Canva"""", """"Yo puedo"""", """"empleabilidad en un click"""", """"empodérate para el éxito"""" y """"todo con mi móvil"""".";Aumentar las competencias digitales de las mujeres para facilitarles el acceso y permanencia en el ámbito laboral así como minimizar la brecha digital.;Mujeres en situación de desempleo.;;;Delegación de Mujer de Chiclana.;Ayuntamiento de Chiclana.;;1;;mujer@chiclana.es;
J.A - C. de empleo, empresa y trabajo autónomo;Empleo y Desarrollo;Formación no reglada;"""Preparadas"" Formación Digital para Mujeres Desempleadas";Cursos presenciales de 40 horas de duración que podrás realizar de manera individual o agrupados en itinerarios formativos. En tu municipio, sin desplazamientos y totalmente gratuitos. Existen dos líneas de formación: una de empleabilidad y otra de emprendimiento.;Impulsar la carrera profesional (empleabilidad) o formar para el autoempleo.;Mujeres desempleadas.;;;J.A - C. de empleo, empresa y trabajo autónomo.;Consejería de Empleo , Empresa y Trabajo Autónomo (Juntade Andalucía ) y Fondo social europeo.;;1;;preparadas.sandetel@juntadeandalucia.es;
Servicio Andaluz de Empleo (SAE);Empleo y Desarrollo;Orientación e Intermediación;Servicios de Información, Inscripción y Clasificación de la Demanda de Empleo;Información sobre servicios y programas de empleo, y atención para la inscripción y clasificación de la demanda.;Atender a la ciudadanía desempleada u ocupada para información. Inscribir, modificar, actualizar y renovar la demanda de empleo.;Personas desempleadas u ocupadas.;;;SAE.;Junta de Andalucía.;;1;;chiclanadelafrontera.sae@juntadeandalucia.es;
Servicio Andaluz de Empleo (SAE);Empleo y Desarrollo;Orientación e Intermediación;Puente Hacia el Empleo;;Talleres sobre información de salidas profesionales para el acceso al mercado laboral.;Institutos de Educación Secundaria (IES).;;;SAE.;Junta de Andalucía-Consejería de Empleo Empresa y Trabajo Autónomo.;;1;;chiclanadelafrontera.sae@juntadeandalucia.es;
